titolo,autore,editore,anno,prezzo,categoria,link_acquisto
"Socrate, Agata e il futuro. L'arte di invecchiare con filosofia",Beppe Severgnini,,2025,"17,50 €",filosofia,https://www.ibs.it/socrate-agata-futuro-arte-di-libro-beppe-severgnini/e/9788817173995?inventoryId=746379662&queryId=737107a687455622c462586ef242b48f
Contro la società dell'angoscia. Speranza e rivoluzione,Byung-Chul Han,,2025,"13,00 €",filosofia,https://www.ibs.it/contro-societa-dell-angoscia-speranza-libro-byung-chul-han/e/9788806264611?inventoryId=774915809&queryId=737107a687455622c462586ef242b48f
Liberi e uguali. Manifesto per una società giusta,Daniel Chandler,,2025,"25,00 €",filosofia,https://www.ibs.it/liberi-uguali-manifesto-per-societa-libro-daniel-chandler/e/9788858153468?inventoryId=822373271&queryId=737107a687455622c462586ef242b48f
Guerra e natura umana. Le radici del disordine mondiale,Gianluca Sadun Bordoni,,2025,"29,00 €",filosofia,https://www.ibs.it/guerra-natura-umana-radici-del-libro-gianluca-sadun-bordoni/e/9788815391520?inventoryId=790009831&queryId=737107a687455622c462586ef242b48f
Bushido. La via del guerriero,"Feltrinelli,",,2025,Prezzo non disponibile,filosofia,https://www.ibs.it/bushido-via-del-guerriero-libro-vari/e/2000000153292?inventoryId=822650025&queryId=737107a687455622c462586ef242b48f
Melanconia e fine del mondo,Paolo Godani,,2025,"18,00 €",filosofia,https://www.ibs.it/melanconia-fine-del-mondo-libro-paolo-godani/e/9791256240210?inventoryId=784063020&queryId=737107a687455622c462586ef242b48f
"Il potere velato. Tirannide, eguaglianza, libertà da Tacito a Spinoza",Michele Ciliberto,,2025,"20,00 €",filosofia,https://www.ibs.it/potere-velato-tirannide-eguaglianza-liberta-libro-michele-ciliberto/e/9788858156551?inventoryId=791467494&queryId=737107a687455622c462586ef242b48f
Considera gli animali,Simone Pollo,,2025,"18,00 €",filosofia,https://www.ibs.it/considera-animali-libro-simone-pollo/e/9788858155653?inventoryId=791467646&queryId=737107a687455622c462586ef242b48f
Montesquieu. Il coraggio della moderazione. Nuova ediz.,Jean Starobinski,,2025,"22,00 €",filosofia,https://www.ibs.it/montesquieu-coraggio-della-moderazione-nuova-libro-jean-starobinski/e/9788806267797?inventoryId=806049021&queryId=737107a687455622c462586ef242b48f
Michel de Certeau,Luigi Maria Epicoco,,2025,"17,00 €",filosofia,https://www.ibs.it/michel-de-certeau-libro-luigi-maria-epicoco/e/9788807227370?inventoryId=784063058&queryId=737107a687455622c462586ef242b48f
Il discorso perfetto. Parlare in pubblico con i classici,Laura Suardi,,2025,"16,00 €",filosofia,https://www.ibs.it/discorso-perfetto-parlare-in-pubblico-libro-laura-suardi/e/9788858156582?inventoryId=791467701&queryId=737107a687455622c462586ef242b48f
Le origini della democrazia totalitaria,Jacob L. Talmon,,2025,"18,00 €",filosofia,https://www.ibs.it/origini-della-democrazia-totalitaria-libro-jacob-l-talmon/e/9788815390752?inventoryId=707284288&queryId=737107a687455622c462586ef242b48f
La ragionevole speranza. Come i filosofi hanno pensato l'aldilà,Sergio Givone,,2025,"17,00 €",filosofia,https://www.ibs.it/ragionevole-speranza-come-filosofi-hanno-libro-sergio-givone/e/9788828216308?inventoryId=790010083&queryId=737107a687455622c462586ef242b48f
Gli 11 semi della felicità,Maddalena Mazzoli,,2025,"18,50 €",filosofia,https://www.ibs.it/11-semi-della-felicita-libro-maddalena-mazzoli/e/9788804792055?inventoryId=739750477&queryId=737107a687455622c462586ef242b48f
Ateismo cristiano. Come diventare veri materialisti,Slavoj Žižek,,2025,"24,00 €",filosofia,https://www.ibs.it/ateismo-cristiano-come-diventare-veri-libro-slavoj-zizek/e/9791255821021?inventoryId=777666475&queryId=737107a687455622c462586ef242b48f
Filosofe. Dieci donne che hanno ripensato il mondo,Francesca R. Recchia Luciani,,2025,"18,00 €",filosofia,https://www.ibs.it/filosofe-dieci-donne-che-hanno-libro-francesca-r-recchia-luciani/e/9788868339654?inventoryId=575105076&queryId=737107a687455622c462586ef242b48f
Per la pace perpetua,Immanuel Kant,,2025,Prezzo non disponibile,filosofia,https://www.ibs.it/per-pace-perpetua-libro-immanuel-kant/e/2000000153537?inventoryId=822650010&queryId=737107a687455622c462586ef242b48f
